File size in MB,Write speed in MB/s
1,19
2,36
3,40
4,47
5,55
6,53
7,56
8,48
9,36
10,47
11,62
12,62
13,63
14,65
15,54
16,65
17,62
18,69
19,71
20,67
21,59
22,81
23,76
24,76
25,83
26,79
27,77
28,73
29,80
30,75
31,81
32,86
33,53
34,73
35,81
36,86
37,87
38,88
39,89
40,89
41,84
42,90
43,90
44,85
45,90
46,94
47,89
48,94
49,94
50,94
51,92
52,88
53,92
54,97
55,95
56,97
57,94
58,91
59,94
60,98
61,94
62,96
63,96
64,83
65,95
66,95
67,93
68,91
69,94
70,95
71,96
72,95
73,93
74,99
75,91
76,95
77,94
78,97
79,89
80,98
81,99
82,96
83,98
84,94
85,96
86,100
87,99
88,100
89,97
90,57
91,100
92,95
93,97
94,101
95,102
96,96
97,99
98,101
99,102
100,100
101,98
102,102
103,99
104,61
105,98
106,99
107,101
108,100
109,99
110,100
111,102
112,93
113,98
114,103
115,98
116,100
117,102
118,99
119,97
120,99
121,97
122,103
123,97
124,101
125,100